# RQ7 -- the budget-normalised control arms, per class (tab:rq7_controls).
# Same 2,000 classes as per_class_controls.csv, and for zero-shot and dynamic the same
# draw: compiled_loop_off equals compiled_initially there and tokens_loop_on equals tokens.
# tokens_loop_off is generation alone; tokens_loop_on adds 6,400 per correction iteration.
# compiled_loop_on is a superset of compiled_loop_off: the loop only repairs what failed.
class_id,loc,cyclomatic_complexity,arm,llm_calls,tokens,compiled_initially,mutation_score
s_0635,1284,87,b-rag,1,12869,1,61.14
s_0636,1468,34,b-rag,1,12916,1,55.78
s_0637,188,8,b-rag,1,9938,0,
s_0638,819,30,b-rag,1,14739,1,80.23
s_0639,399,11,b-rag,1,9097,1,74.91
s_0640,644,36,b-rag,1,8891,1,71.73
s_0641,2028,77,b-rag,1,12204,1,48.93
s_0642,2032,91,b-rag,1,10981,1,71.81
s_0643,2342,106,b-rag,1,8786,0,
s_0644,613,27,b-rag,1,14896,1,88.29
s_0645,388,18,b-rag,1,12194,1,41.50
s_0646,998,63,b-rag,1,7950,1,52.52
s_0647,1769,55,b-rag,1,12543,1,68.27
s_0648,630,49,b-rag,1,10756,1,91.64
s_0649,1378,41,b-rag,1,10813,0,
s_0650,4111,161,b-rag,1,4781,1,63.02
s_0651,642,45,b-rag,1,8460,1,56.30
s_0652,1268,42,b-rag,1,6905,1,87.94
s_0653,434,17,b-rag,1,4854,1,86.77
s_0654,983,110,b-rag,1,6620,1,59.96
s_0655,253,27,b-rag,1,8505,1,91.86
s_0656,3275,154,b-rag,1,3897,1,40.18
s_0657,852,38,b-rag,1,8742,1,55.32
s_0658,7467,157,b-rag,1,7681,0,
s_0659,373,12,b-rag,1,6950,1,73.63
s_0660,1059,71,b-rag,1,10647,0,
s_0661,509,38,b-rag,1,6946,0,
s_0662,951,35,b-rag,1,11011,1,57.60
s_0663,542,18,b-rag,1,14842,1,75.62
s_0664,361,24,b-rag,1,7190,1,68.20
s_0665,322,20,b-rag,1,10349,1,44.83
s_0666,1113,62,b-rag,1,12649,1,66.73
s_0667,1053,51,b-rag,1,7311,1,57.21
s_0668,783,67,b-rag,1,8743,1,59.89
s_0669,1651,80,b-rag,1,9253,0,
s_0670,735,64,b-rag,1,12262,1,81.79
s_0671,2044,69,b-rag,1,15049,0,
s_0672,192,8,b-rag,1,6450,1,69.09
s_0673,458,19,b-rag,1,9366,1,47.86
s_0674,1325,82,b-rag,1,10147,1,56.36
s_0675,1166,52,b-rag,1,8866,1,60.66
s_0676,300,23,b-rag,1,13357,1,72.58
s_0677,2441,148,b-rag,1,11737,1,72.84
s_0678,251,15,b-rag,1,13376,1,68.69
s_0679,185,7,b-rag,1,4849,0,
s_0680,844,55,b-rag,1,17757,1,63.53
s_0681,2127,168,b-rag,1,15160,1,59.68
s_0682,497,20,b-rag,1,7223,0,
s_0683,438,25,b-rag,1,10609,1,100.00
s_0684,341,37,b-rag,1,14775,1,55.79
s_0685,50,2,b-rag,1,4604,1,71.45
s_0686,1471,70,b-rag,1,10457,1,52.56
s_0687,586,32,b-rag,1,10086,0,
s_0688,795,53,b-rag,1,5639,0,
s_0689,1610,71,b-rag,1,7481,0,
s_0690,1792,85,b-rag,1,15820,1,66.76
s_0691,782,39,b-rag,1,9944,0,
s_0692,1584,92,b-rag,1,8663,0,
s_0693,423,17,b-rag,1,9167,0,
s_0694,1863,80,b-rag,1,9884,1,69.98
s_0695,766,38,b-rag,1,10808,1,47.30
s_0696,192,13,b-rag,1,7821,1,84.68
s_0697,1742,86,b-rag,1,8735,0,
s_0698,444,15,b-rag,1,6950,1,52.14
s_0699,1492,61,b-rag,1,7934,1,69.53
s_0700,2782,106,b-rag,1,9762,0,
s_0701,1209,53,b-rag,1,6754,1,84.22
s_0702,650,64,b-rag,1,9477,1,59.16
s_0703,249,17,b-rag,1,9426,1,48.11
s_0704,626,27,b-rag,1,5876,0,
s_0705,1029,53,b-rag,1,12479,1,55.08
s_0706,1097,58,b-rag,1,13787,1,44.14
s_0707,1017,43,b-rag,1,7731,1,73.02
s_0708,1013,64,b-rag,1,11411,1,75.90
s_0709,673,34,b-rag,1,12364,1,47.51
s_0710,369,17,b-rag,1,5046,1,70.60
s_0711,624,27,b-rag,1,5830,1,58.13
s_0712,456,27,b-rag,1,6872,0,
s_0713,1241,86,b-rag,1,10398,1,53.91
s_0714,783,42,b-rag,1,8965,1,76.95
s_0715,364,13,b-rag,1,8561,1,74.49
s_0716,201,11,b-rag,1,4172,1,60.29
s_0717,461,26,b-rag,1,8229,1,74.87
s_0718,1353,44,b-rag,1,8578,0,
s_0719,2096,122,b-rag,1,12100,1,61.54
s_0720,854,27,b-rag,1,8152,1,61.71
s_0721,345,15,b-rag,1,7442,1,79.20
s_0722,784,48,b-rag,1,13626,1,58.16
s_0723,2476,95,b-rag,1,12549,1,77.77
s_0724,144,15,b-rag,1,11973,1,68.00
s_0725,3309,107,b-rag,1,11964,1,33.82
s_0726,202,22,b-rag,1,10597,1,72.89
s_0727,164,13,b-rag,1,15822,1,84.49
s_0728,1583,68,b-rag,1,10017,1,59.86
s_0729,430,20,b-rag,1,7158,1,65.21
s_0730,383,27,b-rag,1,10102,1,66.32
s_0731,894,29,b-rag,1,11916,0,
s_0732,390,23,b-rag,1,11303,1,92.08
s_0733,504,38,b-rag,1,15652,1,69.92
s_0734,151,7,b-rag,1,8092,1,68.46
s_0735,744,53,b-rag,1,11284,0,
s_0736,439,33,b-rag,1,7007,1,60.22
s_0737,449,40,b-rag,1,9275,1,71.54
s_0738,139,13,b-rag,1,5225,1,50.78
s_0739,1462,81,b-rag,1,7836,1,63.15
s_0740,801,67,b-rag,1,5592,1,55.90
s_0741,328,13,b-rag,1,11835,1,61.09
s_0742,1313,81,b-rag,1,10571,1,52.93
s_0743,517,28,b-rag,1,9209,1,80.34
s_0744,467,23,b-rag,1,9459,1,68.40
s_0745,244,20,b-rag,1,12395,1,80.82
s_0746,624,27,b-rag,1,14987,1,70.74
s_0747,4527,204,b-rag,1,7639,1,73.54
s_0748,516,23,b-rag,1,7233,0,
s_0749,485,24,b-rag,1,8140,0,
s_0750,743,45,b-rag,1,9840,1,59.00
s_0751,1642,69,b-rag,1,7136,0,
s_0752,2658,110,b-rag,1,8526,0,
s_0753,213,27,b-rag,1,18540,1,70.24
s_0754,633,41,b-rag,1,10896,0,
s_0755,212,16,b-rag,1,8663,0,
s_0756,2156,87,b-rag,1,9197,0,
s_0757,2491,99,b-rag,1,7672,1,67.33
s_0758,1970,96,b-rag,1,11885,1,61.69
s_0759,777,19,b-rag,1,7108,0,
s_0760,4843,180,b-rag,1,11579,1,66.97
s_0761,1681,109,b-rag,1,6597,0,
s_0762,1607,71,b-rag,1,16054,1,79.64
s_0763,1847,96,b-rag,1,11913,1,68.02
s_0764,1934,80,b-rag,1,7421,0,
s_0765,1792,121,b-rag,1,10397,1,75.89
s_0766,3228,221,b-rag,1,8204,1,68.36
s_0767,321,22,b-rag,1,5230,1,68.72
s_0768,1491,87,b-rag,1,5615,1,69.31
s_0769,255,16,b-rag,1,8424,1,68.42
s_0770,1917,148,b-rag,1,11735,0,
s_0771,9797,219,b-rag,1,7858,0,
s_0772,1150,61,b-rag,1,9862,1,69.95
s_0773,888,55,b-rag,1,8356,1,79.70
s_0774,2183,106,b-rag,1,15674,1,80.15
s_0775,1228,76,b-rag,1,5826,1,67.78
s_0776,305,22,b-rag,1,8515,1,87.19
s_0777,357,24,b-rag,1,9281,1,56.74
s_0778,166,8,b-rag,1,10979,1,71.19
s_0779,2053,58,b-rag,1,9367,1,61.35
s_0780,2124,130,b-rag,1,13543,1,63.39
s_0781,440,18,b-rag,1,6375,1,75.26
s_0782,217,22,b-rag,1,12537,1,73.84
s_0783,176,8,b-rag,1,5687,1,66.54
s_0784,965,81,b-rag,1,6888,1,79.37
s_0785,200,13,b-rag,1,7257,1,87.92
s_0786,301,19,b-rag,1,11965,1,74.64
s_0787,1732,68,b-rag,1,9817,1,72.52
s_0788,1656,41,b-rag,1,8369,0,
s_0789,4169,154,b-rag,1,9756,0,
s_0790,541,28,b-rag,1,8249,1,77.98
s_0791,2176,112,b-rag,1,10479,1,49.87
s_0792,2726,149,b-rag,1,11172,0,
s_0793,306,19,b-rag,1,5657,1,61.94
s_0794,315,15,b-rag,1,11881,0,
s_0795,390,36,b-rag,1,6560,0,
s_0796,1220,81,b-rag,1,12709,1,66.66
s_0797,4087,202,b-rag,1,8408,1,61.67
s_0798,805,48,b-rag,1,7284,1,56.77
s_0799,2121,87,b-rag,1,11989,1,72.46
s_0800,257,12,b-rag,1,5858,1,83.70
s_0801,949,34,b-rag,1,13125,0,
s_0802,537,37,b-rag,1,10715,1,76.43
s_0803,1083,46,b-rag,1,6065,1,63.30
s_0804,1673,76,b-rag,1,7444,1,64.48
s_0805,176,14,b-rag,1,11873,1,75.29
s_0806,832,58,b-rag,1,9587,1,68.82
s_0807,741,55,b-rag,1,8912,1,74.92
s_0808,548,28,b-rag,1,9280,1,73.78
s_0809,214,15,b-rag,1,6133,1,74.27
s_0810,1206,55,b-rag,1,6968,0,
s_0811,730,41,b-rag,1,4369,1,73.99
s_0812,2408,164,b-rag,1,10498,0,
s_0813,656,38,b-rag,1,5649,1,78.10
s_0814,630,39,b-rag,1,16347,1,62.33
s_0815,1265,79,b-rag,1,10412,1,58.26
s_0816,356,24,b-rag,1,7082,1,74.47
s_0817,2219,85,b-rag,1,12789,1,80.39
s_0818,186,15,b-rag,1,16649,1,90.96
s_0819,924,75,b-rag,1,9127,0,
s_0820,849,30,b-rag,1,8394,1,45.76
s_0821,524,34,b-rag,1,7731,1,71.81
s_0822,493,24,b-rag,1,12830,1,52.26
s_0823,319,13,b-rag,1,10075,0,
s_0824,1798,94,b-rag,1,9811,1,52.91
s_0825,2398,79,b-rag,1,5422,0,
s_0826,255,23,b-rag,1,6466,1,68.18
s_0827,1353,45,b-rag,1,10080,0,
s_0828,299,19,b-rag,1,9412,1,63.83
s_0829,1418,82,b-rag,1,5176,1,87.49
s_0830,711,28,b-rag,1,5893,1,64.91
s_0831,940,45,b-rag,1,9723,1,79.57
s_0832,1331,80,b-rag,1,6354,1,78.52
s_0833,340,15,b-rag,1,13460,1,72.07
s_0834,776,40,b-rag,1,8683,1,67.64
s_0835,1074,54,b-rag,1,9234,0,
s_0836,1409,135,b-rag,1,6540,1,68.11
s_0837,426,30,b-rag,1,8155,1,93.51
s_0838,2777,124,b-rag,1,10049,0,
s_0839,1265,56,b-rag,1,7606,0,
s_0840,2980,98,b-rag,1,13108,1,36.23
s_0841,460,30,b-rag,1,9427,1,64.93
s_0842,1354,52,b-rag,1,10460,0,
s_0843,1186,62,b-rag,1,13104,1,78.24
s_0844,776,54,b-rag,1,13638,1,51.03
s_0845,1790,83,b-rag,1,6223,1,59.81
s_0846,1156,86,b-rag,1,6059,1,74.56
s_0847,754,26,b-rag,1,7748,0,
s_0848,1461,105,b-rag,1,7033,1,52.84
s_0849,1364,67,b-rag,1,7828,0,
s_0850,580,53,b-rag,1,12197,0,
s_0851,316,16,b-rag,1,12301,1,100.00
s_0852,1208,102,b-rag,1,12129,1,63.67
s_0853,1149,78,b-rag,1,6780,1,67.10
s_0854,634,17,b-rag,1,7294,0,
s_0855,6251,161,b-rag,1,9347,0,
s_0856,380,32,b-rag,1,5324,1,67.60
s_0857,654,35,b-rag,1,13211,1,86.20
s_0858,737,46,b-rag,1,9950,1,75.54
s_0859,798,37,b-rag,1,14773,0,
s_0860,600,38,b-rag,1,6608,1,55.08
s_0861,1215,41,b-rag,1,5897,0,
s_0862,328,21,b-rag,1,8420,1,69.15
s_0863,553,33,b-rag,1,6796,1,99.93
s_0864,418,21,b-rag,1,8847,0,
s_0865,276,26,b-rag,1,9608,1,92.01
s_0866,387,16,b-rag,1,8257,1,62.12
s_0867,927,54,b-rag,1,8911,1,61.47
s_0868,392,18,b-rag,1,7627,0,
s_0869,1367,52,b-rag,1,6057,1,60.22
s_0870,262,19,b-rag,1,7525,1,73.28
s_0871,743,28,b-rag,1,14248,1,55.02
s_0872,1142,49,b-rag,1,12783,0,
s_0873,1589,64,b-rag,1,7925,0,
s_0874,1628,105,b-rag,1,12673,1,38.69
s_0875,1350,59,b-rag,1,8569,1,50.60
s_0876,1150,79,b-rag,1,10025,1,70.20
s_0877,219,13,b-rag,1,9286,0,
s_0878,304,16,b-rag,1,9943,1,72.06
s_0879,239,15,b-rag,1,15733,1,65.73
s_0880,737,36,b-rag,1,8093,1,71.04
s_0881,3372,97,b-rag,1,10558,0,
s_0882,1832,129,b-rag,1,8303,0,
s_0883,1270,76,b-rag,1,6159,0,
s_0884,3232,233,b-rag,1,10181,0,
s_0885,415,27,b-rag,1,8313,1,84.85
s_0886,2486,107,b-rag,1,5883,1,64.85
s_0887,1933,80,b-rag,1,7181,0,
s_0888,765,56,b-rag,1,6721,1,89.36
s_0889,601,24,b-rag,1,9894,1,67.59
s_0890,145,10,b-rag,1,8022,1,72.80
s_0891,621,33,b-rag,1,6701,1,52.41
s_0892,198,13,b-rag,1,7313,1,79.77
s_0893,1011,26,b-rag,1,8742,1,64.87
s_0894,991,45,b-rag,1,10512,1,71.48
s_0895,2576,223,b-rag,1,9735,1,71.51
s_0896,211,16,b-rag,1,6843,1,85.77
s_0897,1485,50,b-rag,1,14437,1,65.09
s_0898,839,39,b-rag,1,12063,0,
s_0899,731,36,b-rag,1,8530,1,61.53
s_0900,1200,57,b-rag,1,6317,1,71.69
s_0901,590,34,b-rag,1,9421,1,65.49
s_0902,557,23,b-rag,1,6547,1,64.04
s_0903,576,40,b-rag,1,5284,0,
s_0904,733,57,b-rag,1,8154,1,44.66
s_0905,1337,103,b-rag,1,14408,0,
s_0906,251,10,b-rag,1,6940,1,90.40
s_0907,1362,105,b-rag,1,6973,1,51.92
s_0908,256,11,b-rag,1,11308,1,54.78
s_0909,4329,194,b-rag,1,13292,1,74.43
s_0910,1241,36,b-rag,1,9086,1,67.95
s_0911,173,11,b-rag,1,10095,1,93.54
s_0912,455,34,b-rag,1,5770,1,45.17
s_0913,1403,49,b-rag,1,10950,1,56.85
s_0914,107,5,b-rag,1,10237,1,57.33
s_0915,1549,70,b-rag,1,13512,0,
s_0916,801,16,b-rag,1,9330,1,61.79
s_0917,1126,38,b-rag,1,8545,1,74.73
s_0918,162,12,b-rag,1,8243,1,72.71
s_0919,2509,264,b-rag,1,12972,0,
s_0920,2052,72,b-rag,1,17061,1,73.32
s_0921,1551,56,b-rag,1,10729,0,
s_0922,381,30,b-rag,1,11508,1,78.75
s_0923,2061,123,b-rag,1,23944,1,40.62
s_0924,723,38,b-rag,1,7226,0,
s_0925,599,35,b-rag,1,6836,1,61.23
s_0926,2291,141,b-rag,1,9658,0,
s_0927,333,16,b-rag,1,3611,1,59.02
s_0928,1329,52,b-rag,1,8769,1,62.14
s_0929,319,23,b-rag,1,9812,1,71.71
s_0930,226,11,b-rag,1,7013,1,84.00
s_0931,362,17,b-rag,1,12728,1,82.51
s_0932,175,15,b-rag,1,12080,1,72.14
s_0933,3827,191,b-rag,1,6403,1,50.46
s_0934,2386,68,b-rag,1,8810,1,79.19
s_0935,413,24,b-rag,1,6426,1,62.49
s_0936,1065,59,b-rag,1,6482,1,69.08
s_0937,448,18,b-rag,1,9735,1,64.47
s_0938,316,33,b-rag,1,14095,1,82.96
s_0939,1790,70,b-rag,1,13749,1,45.02
s_0940,430,32,b-rag,1,7570,1,78.99
s_0941,1032,49,b-rag,1,9417,1,66.48
s_0942,334,26,b-rag,1,12482,0,
s_0943,285,14,b-rag,1,6711,1,89.80
s_0944,1052,72,b-rag,1,7604,1,71.14
s_0945,726,31,b-rag,1,8618,0,
s_0946,2319,180,b-rag,1,10025,1,62.21
s_0947,1472,77,b-rag,1,5864,1,66.06
s_0948,125,14,b-rag,1,8896,1,59.24
s_0949,998,57,b-rag,1,8308,1,67.06
s_0950,1386,76,b-rag,1,7030,1,50.47
s_0951,501,27,b-rag,1,18813,1,65.41
s_0952,4130,190,b-rag,1,5376,1,57.55
s_0953,2057,72,b-rag,1,9390,0,
s_0954,128,6,b-rag,1,9430,1,72.97
s_0955,435,16,b-rag,1,12046,1,71.39
s_0956,6669,414,b-rag,1,7306,1,71.11
s_0957,340,18,b-rag,1,8191,1,60.37
s_0958,1394,73,b-rag,1,4206,1,68.27
s_0959,1031,83,b-rag,1,8845,1,61.85
s_0960,2383,89,b-rag,1,6974,1,55.74
s_0961,3857,216,b-rag,1,9510,0,
s_0962,533,21,b-rag,1,7620,1,82.34
s_0963,451,34,b-rag,1,13608,1,55.45
s_0964,467,21,b-rag,1,5376,1,63.03
s_0965,405,22,b-rag,1,14180,1,70.30
s_0966,678,34,b-rag,1,7809,1,84.19
s_0967,486,19,b-rag,1,11721,1,80.35
s_0968,1378,86,b-rag,1,16100,1,80.24
s_0969,726,55,b-rag,1,6199,1,60.82
s_0970,666,33,b-rag,1,11673,0,
s_0971,952,77,b-rag,1,6260,0,
s_0972,4478,214,b-rag,1,8659,0,
s_0973,467,21,b-rag,1,16623,1,72.61
s_0974,670,18,b-rag,1,5828,1,66.37
s_0975,691,36,b-rag,1,12704,1,61.18
s_0976,473,27,b-rag,1,9232,1,76.85
s_0977,1077,65,b-rag,1,11081,1,76.92
s_0978,5442,266,b-rag,1,12689,0,
s_0979,718,40,b-rag,1,12899,1,67.87
s_0980,553,24,b-rag,1,7488,1,86.26
s_0981,1598,82,b-rag,1,9708,0,
s_0982,351,19,b-rag,1,11432,1,73.88
s_0983,294,31,b-rag,1,12408,1,68.64
s_0984,1397,61,b-rag,1,7407,0,
s_0985,478,39,b-rag,1,11121,1,54.03
s_0986,1004,61,b-rag,1,8043,0,
s_0987,1677,103,b-rag,1,6849,1,47.41
s_0988,1037,55,b-rag,1,7815,0,
s_0989,280,24,b-rag,1,10435,1,54.79
s_0990,11209,428,b-rag,1,6599,1,59.18
s_0991,293,9,b-rag,1,11683,1,55.12
s_0992,375,24,b-rag,1,9428,1,74.09
s_0993,117,9,b-rag,1,16450,1,41.03
s_0994,627,27,b-rag,1,7175,1,68.00
s_0995,1624,101,b-rag,1,4924,0,
s_0996,626,30,b-rag,1,6771,0,
s_0997,751,44,b-rag,1,7890,1,68.98
s_0998,2153,60,b-rag,1,9498,0,
s_0999,364,19,b-rag,1,7039,1,72.66
s_1000,891,54,b-rag,1,10277,1,43.86
s_1001,1773,58,b-rag,1,7119,0,
s_1002,1238,51,b-rag,1,7662,1,84.49
s_1003,1107,73,b-rag,1,6974,0,
s_1004,1174,39,b-rag,1,6169,1,47.15
s_1005,5354,223,b-rag,1,9239,1,65.40
s_1006,188,10,b-rag,1,8653,1,71.47
s_1007,878,29,b-rag,1,10331,0,
s_1008,500,21,b-rag,1,7845,0,
s_1009,254,10,b-rag,1,5019,1,70.33
s_1010,1768,100,b-rag,1,14730,0,
s_1011,2188,81,b-rag,1,7791,0,
s_1012,1290,93,b-rag,1,9082,0,
s_1013,469,18,b-rag,1,7719,0,
s_1014,2738,63,b-rag,1,7422,0,
s_1015,2601,90,b-rag,1,7496,0,
s_1016,868,46,b-rag,1,10746,1,71.92
s_1017,178,19,b-rag,1,7838,0,
s_1018,1453,139,b-rag,1,5241,1,44.85
s_1019,583,20,b-rag,1,9256,1,65.13
s_1020,973,78,b-rag,1,7257,1,62.20
s_1021,3414,106,b-rag,1,9792,0,
s_1022,1846,89,b-rag,1,11003,1,63.74
s_1023,501,32,b-rag,1,9502,1,65.47
s_1024,1378,79,b-rag,1,13166,1,76.94
s_1025,462,23,b-rag,1,11740,1,57.85
s_1026,1710,78,b-rag,1,8760,0,
s_1027,321,19,b-rag,1,15258,1,74.55
s_1028,592,40,b-rag,1,8610,1,72.53
s_1029,1309,67,b-rag,1,7758,1,53.41
s_1030,154,12,b-rag,1,10618,1,77.95
s_1031,2548,96,b-rag,1,8204,1,54.69
s_1032,392,37,b-rag,1,5157,1,69.90
s_1033,634,32,b-rag,1,4624,0,
s_1034,269,10,b-rag,1,14456,1,69.93
s_1035,625,31,b-rag,1,14537,0,
s_1036,739,55,b-rag,1,8205,1,41.05
s_1037,822,30,b-rag,1,14075,1,72.35
s_1038,1116,59,b-rag,1,17930,0,
s_1039,1682,100,b-rag,1,10673,1,73.16
s_1040,366,14,b-rag,1,4624,1,93.08
s_1041,676,37,b-rag,1,12320,1,65.65
s_1042,855,30,b-rag,1,8763,1,86.05
s_1043,1126,46,b-rag,1,10635,1,46.85
s_1044,829,37,b-rag,1,7866,1,78.11
s_1045,583,19,b-rag,1,11526,1,70.65
s_1046,999,71,b-rag,1,9505,0,
s_1047,959,70,b-rag,1,7772,0,
s_1048,2291,88,b-rag,1,9390,0,
s_1049,1032,53,b-rag,1,5160,1,72.01
s_1050,4199,140,b-rag,1,6994,1,57.83
s_1051,5361,313,b-rag,1,6205,1,53.43
s_1052,867,53,b-rag,1,7730,1,71.17
s_1053,7258,238,b-rag,1,7688,0,
s_1054,347,35,b-rag,1,6344,1,85.68
s_1055,584,43,b-rag,1,7716,1,48.16
s_1056,361,21,b-rag,1,3141,1,70.90
s_1057,213,26,b-rag,1,12483,1,57.40
s_1058,1684,123,b-rag,1,5427,1,80.65
s_1059,463,21,b-rag,1,9706,1,57.12
s_1060,1518,42,b-rag,1,8022,1,58.89
s_1061,480,33,b-rag,1,4605,1,62.20
s_1062,2710,67,b-rag,1,4621,0,
s_1063,859,59,b-rag,1,10258,0,
s_1064,1353,75,b-rag,1,13274,0,
s_1065,322,27,b-rag,1,8215,1,94.45
s_1066,1394,54,b-rag,1,11093,1,54.25
s_1067,1697,104,b-rag,1,5636,0,
s_1068,516,37,b-rag,1,7430,1,66.98
s_1069,1035,50,b-rag,1,7179,0,
s_1070,3445,114,b-rag,1,10486,0,
s_1071,625,38,b-rag,1,8900,0,
s_1072,520,23,b-rag,1,7466,0,
s_1073,633,53,b-rag,1,7269,1,66.02
s_1074,1160,83,b-rag,1,8957,1,85.43
s_1075,2843,92,b-rag,1,5297,0,
s_1076,151,16,b-rag,1,10454,0,
s_1077,2453,91,b-rag,1,8907,1,60.89
s_1078,329,28,b-rag,1,9305,1,77.18
s_1079,778,52,b-rag,1,8396,1,90.13
s_1080,1091,56,b-rag,1,8442,1,65.54
s_1081,1564,108,b-rag,1,14214,0,
s_1082,488,29,b-rag,1,5193,1,74.44
s_1083,4979,153,b-rag,1,8174,1,49.42
s_1084,4259,160,b-rag,1,7306,0,
s_1085,592,39,b-rag,1,9422,0,
s_1086,3803,175,b-rag,1,7686,0,
s_1087,1093,45,b-rag,1,9341,1,51.29
s_1088,313,17,b-rag,1,11976,1,49.10
s_1089,122,13,b-rag,1,11190,1,70.13
s_1090,644,26,b-rag,1,12189,0,
s_1091,313,22,b-rag,1,9537,1,71.86
s_1092,500,24,b-rag,1,12285,1,74.83
s_1093,5210,226,b-rag,1,8196,0,
s_1094,640,42,b-rag,1,7464,1,81.35
s_1095,1159,51,b-rag,1,8919,1,59.05
s_1096,3248,118,b-rag,1,16080,0,
s_1097,199,8,b-rag,1,9336,1,70.16
s_1098,254,12,b-rag,1,14368,1,80.58
s_1099,961,43,b-rag,1,9076,1,65.07
s_1100,930,48,b-rag,1,13208,0,
s_1101,70,6,b-rag,1,7906,1,71.73
s_1102,1230,61,b-rag,1,7700,1,49.61
s_1103,615,28,b-rag,1,5514,1,62.06
s_1104,1315,44,b-rag,1,10199,1,71.66
s_1105,1061,50,b-rag,1,6907,1,78.44
s_1106,765,46,b-rag,1,10819,1,61.30
s_1107,1253,51,b-rag,1,8092,1,62.43
s_1108,621,21,b-rag,1,9096,1,67.16
s_1109,481,23,b-rag,1,6389,1,77.72
s_1110,677,39,b-rag,1,8948,1,53.57
s_1111,1213,65,b-rag,1,10153,1,57.03
s_1112,563,21,b-rag,1,9510,0,
s_1113,230,18,b-rag,1,8983,1,61.96
s_1114,939,40,b-rag,1,9984,1,66.47
s_1115,415,12,b-rag,1,11722,1,89.34
s_1116,301,16,b-rag,1,11320,0,
s_1117,1517,85,b-rag,1,13262,0,
s_1118,1337,76,b-rag,1,12339,1,77.59
s_1119,373,24,b-rag,1,17576,1,61.73
s_1120,1389,31,b-rag,1,9868,1,56.02
s_1121,148,8,b-rag,1,10338,1,70.05
s_1122,350,25,b-rag,1,7285,1,92.26
s_1123,504,32,b-rag,1,6701,0,
s_1124,2648,73,b-rag,1,10237,0,
s_1125,498,18,b-rag,1,6639,1,58.59
s_1126,312,19,b-rag,1,5839,1,85.74
s_1127,399,14,b-rag,1,9016,1,76.40
s_1128,1343,76,b-rag,1,8577,1,74.18
s_1129,296,17,b-rag,1,8381,0,
s_1130,4933,133,b-rag,1,9924,0,
s_1131,782,50,b-rag,1,8737,1,71.70
s_1132,2254,87,b-rag,1,3847,0,
s_1133,858,27,b-rag,1,5348,1,55.74
s_1134,453,38,b-rag,1,9570,1,71.73
s_1135,975,47,b-rag,1,12053,1,55.89
s_1136,1225,74,b-rag,1,8739,1,50.92
s_1137,1969,73,b-rag,1,13596,1,54.89
s_1138,546,20,b-rag,1,9270,0,
s_1139,811,65,b-rag,1,5110,1,80.46
s_1140,558,38,b-rag,1,11424,1,76.80
s_1141,786,43,b-rag,1,6600,1,85.77
s_1142,846,38,b-rag,1,11456,1,54.72
s_1143,1056,41,b-rag,1,8862,0,
s_1144,893,32,b-rag,1,11911,0,
s_1145,238,35,b-rag,1,8401,1,68.41
s_1146,1451,53,b-rag,1,9901,0,
s_1147,2446,132,b-rag,1,11418,0,
s_1148,1309,86,b-rag,1,16718,1,71.63
s_1149,1151,121,b-rag,1,11104,0,
s_1150,467,40,b-rag,1,9345,0,
s_1151,1141,58,b-rag,1,7684,0,
s_1152,945,71,b-rag,1,6434,1,44.58
s_1153,257,14,b-rag,1,5675,1,66.67
s_1154,1746,121,b-rag,1,12179,1,75.86
s_1155,215,10,b-rag,1,8279,1,87.46
s_1156,55,5,b-rag,1,7300,1,94.53
s_1157,1643,77,b-rag,1,12918,0,
s_1158,798,39,b-rag,1,9420,0,
s_1159,425,49,b-rag,1,9003,1,69.85
s_1160,1913,102,b-rag,1,8380,0,
s_1161,1036,62,b-rag,1,12081,1,79.44
s_1162,576,29,b-rag,1,4467,1,80.18
s_1163,1972,63,b-rag,1,7975,1,77.71
s_1164,571,45,b-rag,1,7419,1,73.15
s_1165,295,17,b-rag,1,11553,1,73.10
s_1166,496,35,b-rag,1,7511,1,50.85
s_1167,2096,101,b-rag,1,13467,1,71.89
s_1168,85,5,b-rag,1,13503,1,97.84
s_1169,572,38,b-rag,1,9760,1,56.26
s_1170,487,28,b-rag,1,5698,1,76.92
s_1171,325,21,b-rag,1,7436,1,66.14
s_1172,2115,83,b-rag,1,7413,1,64.44
s_1173,301,17,b-rag,1,11768,1,66.46
s_1174,3645,130,b-rag,1,12536,1,51.37
s_1175,2066,82,b-rag,1,17104,1,61.72
s_1176,3914,205,b-rag,1,8237,1,64.18
s_1177,2020,72,b-rag,1,7861,1,67.32
s_1178,537,24,b-rag,1,6029,1,62.58
s_1179,698,28,b-rag,1,10318,0,
s_1180,944,26,b-rag,1,8971,1,68.30
s_1181,190,20,b-rag,1,9835,1,47.91
s_1182,980,32,b-rag,1,11147,0,
s_1183,425,24,b-rag,1,4568,1,63.74
s_1184,2139,131,b-rag,1,10975,0,
s_1185,520,38,b-rag,1,9711,1,70.24
s_1186,221,14,b-rag,1,6786,1,83.49
s_1187,1320,58,b-rag,1,13805,0,
s_1188,1220,58,b-rag,1,10433,1,52.13
s_1189,651,30,b-rag,1,6703,1,75.51
s_1190,419,27,b-rag,1,14552,1,70.94
s_1191,1817,105,b-rag,1,4923,1,79.36
s_1192,786,35,b-rag,1,6708,1,81.68
s_1193,416,24,b-rag,1,7407,1,94.29
s_1194,252,15,b-rag,1,9875,1,65.53
